Reference,Quantity, Value, Price, DigiKey PN
P1,1,CONN_02X05,0.41,ED1543-ND
D1-D8,8,TLPR5600,6.4,TLPR5600-ND
C1-C5,5,100nF,1.55,399-9859-1-ND
C6,1,100nF,0.33,399-9843-ND
C7,1,1uF,2.54,399-3529-ND
CON1,1,BARREL_JACK,1.09,839-54-00166-ND
R1-R8,8,560R,1.28,CF18JT560RCT-ND
U3,1,Pico W,8.88,2648-SC0918CT-ND
U4,1,LM2950ACZ-3.3,1.26,LP2950ACZ-3.3GOS-ND
U1,1,MAX3237ECDWR,5.37,296-36945-1-ND
D12,1,1N5817,0.47,N5817-TPCT-ND
U5,1,AT24C32E-PUM,0.98,AT24C32E-PUM-ND
R12-R13,2,3.9K,0.32,CF18JT3K90CT-ND
U2,1,74HCT245,1.42,296-1612-5-ND
,1,Hammond 1593NBK case,9.26,HM963-ND 
,1,Hammond red panel,0.88,HM889-ND 
,50,PCB screws,12.46,HM1442-ND
,1,5V wall adapter,8.92,364-1251-ND 
,1,DE-9F IDC connector,19.9,5746861-4-ND
,2,D-sub jackscrew,0.94,2057-JS-02-ND
,1,8 pin DIP socket,0.44,1175-1475-ND
,1,20 pin DIP socket,0.67,1175-1479-ND
,1,10 pos IDC socket,0.69,1175-1443-ND 
,1,10 cond ribbon cable,0.95,3M157815-1-ND
